,Rank,Mark,Player Name,DOB,Nat,Pos,Venue,Date
263,348,10.73,Grzegorz KOSSAKOWSKI,05 FEB 1991,POL,4f2,Siedlce (POL),10 JUN 2010
264,348,10.73,Tommaso LAZZARINI,1991,ITA,1f1,Modena (ITA),12 JUN 2010
265,348,10.73,Bruno FERNANDES,26 MAY 1991,POR,3,Lisboa (POR),26 JUN 2010
266,348,10.73,Ruslan PERESTYUK,22 APR 1991,UKR,5sf3,Donetsk (UKR),01 JUL 2010
267,348,10.73,Emmanuel MBIMBE TITI,01 APR 1992,CMR,4h7,"Croix-Bleue Medavie Stadium, Moncton (CAN)",20 JUL 2010
268,348,10.73,Blake WEBB,18 JUN 1994,USA,2h4,"Sacramento, CA (USA)",30 JUL 2010
269,348,10.73,Milan RISTIČ,08 AUG 1991,SRB,1f1,Beograd (SRB),14 AUG 2010
270,348,10.73,Kyu-won CHO,01 SEP 1991,KOR,7,Jeonju (KOR),08 OCT 2010
271,348,10.73,Maninder SINGH,,IND,2,Bengaluru (IND),01 DEC 2010
272,370,10.74,Duwayne FERGUSON,1991,JAM,3h2,Kingston (JAM),06 MAR 2010
273,370,10.74,Joseph MILLAR,24 SEP 1992,NZL,1,Christchurch (NZL),26 MAR 2010
274,370,10.74,Tamunotonye BRIGGS,23 MAY 1995,NGR,1h3,Kaduna (NGR),26 MAR 2010
275,370,10.74,Justin LORD,15 JUL 1991,USA,2f1,"Columbia, SC (USA)",07 APR 2010
276,370,10.74,Asher ASHFIELD,,USA,1f8,"Lewisburg, PA (USA)",10 APR 2010
277,370,10.74,Perman WILSON,1993,USA,1,"St. Cloud, FL (USA)",29 APR 2010
278,370,10.74,Terrence MITCHEL,,USA,3,"Winter Park, FL (USA)",07 MAY 2010
279,370,10.74,Connor REILLY,10 NOV 1991,USA,3,"Princeton, NJ (USA)",09 MAY 2010
280,370,10.74,Nate BRUNETTE,09 MAY 1991,USA,3h3,"Arlington, TX (USA)",15 MAY 2010
281,370,10.74,Mohammad Sico IBRAHIM,1994,KSA,1,Riyadh (KSA),26 MAY 2010
282,370,10.74,Zdeněk STROMŠÍK,25 NOV 1994,CZE,1,Ostrava (CZE),30 MAY 2010
283,370,10.74,Felix GEHNE,04 FEB 1993,GER,4f2,Mannheim (GER),03 JUL 2010
284,370,10.74,Dong YANG,02 NOV 1992,CHN,5sf2,Wuhan (CHN),10 JUL 2010
285,370,10.74,Florian KATZSCHMANN,30 JAN 1991,GER,1h4,München (GER),24 JUL 2010
286,370,10.74,Shixing HAN,27 MAR 1991,CHN,6h5,Jinan (CHN),05 AUG 2010
287,370,10.74,Xinwei ZHANG,15 MAR 1994,CHN,1f1,Mudanjiang (CHN),10 AUG 2010
288,370,10.74,Kaiheng BI,12 MAY 1992,CHN,1f2,Mudanjiang (CHN),10 AUG 2010
289,370,10.74,Antoe WALTERS,18 FEB 1991,GBR,1,Bern (SUI),04 SEP 2010
290,370,10.74,Yaorong ZHANG,01 MAR 1993,CHN,1,Zibo (CHN),23 SEP 2010
291,370,10.74,Satoru TOMITA,25 NOV 1992,JPN,3h2,Chiba (JPN),01 OCT 2010
292,390,10.75,Lester RYAN,08 JAN 1993,MNT,4h1,George Town (CAY),03 APR 2010
293,390,10.75,Hector RUIZ,15 JAN 1993,MEX,1,San Salvador (ESA),04 APR 2010
294,390,10.75,Alex CANNON,,USA,2f2,"Walnut, CA (USA)",17 APR 2010
295,390,10.75,Avery SCOTT,,USA,2,"Jacksonville, FL (USA)",23 APR 2010
296,390,10.75,Kwayne HUNTER,,USA,6,"Winter Park, FL (USA)",28 APR 2010
297,390,10.75,Emerson SANDERS,06 AUG 1991,USA,7f3,"Austin, TX (USA)",01 MAY 2010
298,390,10.75,Szymon JAWORSKI,02 FEB 1992,POL,1,Spala (POL),01 MAY 2010
299,390,10.75,Julian SAROKIN,27 APR 1992,USA,8,"Norwalk, CA (USA)",28 MAY 2010
300,390,10.75,Bennie WESLEY,1994,USA,1h1,"Orlando, FL (USA)",28 MAY 2010
301,390,10.75,Edoardo SANGIORGI,1991,ITA,4,Torino (ITA),12 JUN 2010
302,390,10.75,Alessandro PEDRAZZOLI,20 APR 1991,ITA,1f1,Majano (ITA),12 JUN 2010
303,,,,,,,,
304,390,10.75,Harith Ammar MOHD SOBRI,19 JUN 1994,MAS,2h2,Malacca (MAS),14 JUN 2010
305,390,10.75,El Mehdi KABBACHI,04 OCT 1992,MAR,1,Meknés (MAR),20 JUN 2010
306,390,10.75,Chang SHU,06 OCT 1993,CHN,3,Huainan (CHN),16 JUL 2010
307,390,10.75,Charles THARP,1991,USA,3sf1,"Norfolk, VA (USA)",04 AUG 2010
308,390,10.75,Grayson MCMANUS,07 NOV 1994,USA,2sf3,"Norfolk, VA (USA)",04 AUG 2010
309,390,10.75,Marcel KIRSTGES,29 MAY 1991,GER,2,Ulm (GER),06 AUG 2010
310,390,10.75,David SENNUNG,24 AUG 1991,SWE,3f1,Akureyri (ISL),28 AUG 2010
311,390,10.75,Chao LI,18 APR 1992,CHN,2,Zibo (CHN),23 SEP 2010
312,409,10.76,Scott WALKER,17 AUG 1992,NZL,1f1,Wanganui (NZL),26 JAN 2010
313,409,10.76,Michael KING,,JAM,2f3,Spanish Town (JAM),13 MAR 2010
314,409,10.76,David VERBURG,14 MAY 1991,USA,3h3,"Raleigh, NC (USA)",26 MAR 2010
315,409,10.76,Allan BURTON,25 FEB 1992,JAM,7,Kingston (JAM),26 MAR 2010
316,409,10.76,Miles BENNETT,,USA,3,"Naples, FL (USA)",21 APR 2010
317,409,10.76,Marcus MAYE,,USA,5,"Orlando, FL (USA)",22 APR 2010
318,409,10.76,Doston SANDALIYEV,1992,UZB,1,Shimkent (KAZ),08 MAY 2010
319,409,10.76,Kenneth TURNER,28 AUG 1991,USA,1,"Abilene, TX (USA)",20 MAY 2010
320,409,10.76,Damani WILSON,,USA,2,"Norwalk, CA (USA)",22 MAY 2010
321,409,10.76,Trae ARMSTRONG,26 FEB 1994,USA,1f2,"Albuquerque, NM (USA)",05 JUN 2010
322,409,10.76,Lukáš ŠTASTNY,23 FEB 1991,CZE,h1,Praha (CZE),09 JUN 2010
323,409,10.76,Yuriy MARKAUTSKAS,15 FEB 1992,RUS,2,Cheboksary (RUS),18 JUN 2010
324,409,10.76,Jean-Baptiste FORMET,12 DEC 1991,FRA,4,Conflans-ste-Honorine (FRA),26 JUN 2010
325,409,10.76,Festus ASANTE,15 JUN 1994,GHA,2f1,Odense (DEN),27 JUN 2010
326,409,10.76,Keenan HARP,,USA,3f2,"Eugene, OR (USA)",02 JUL 2010
327,409,10.76,Alessandro LANFRANCHI,09 JAN 1992,ITA,1f2,Pergine Valsugana (ITA),10 JUL 2010
328,409,10.76,Alexandre MANDABA BORNOU,22 APR 1992,FRA,2sf2,Niort (FRA),16 JUL 2010
329,409,10.76,Yang NI,07 JAN 1993,CHN,1sf1,Huainan (CHN),16 JUL 2010
330,409,10.76,Deandre JACOBS,25 MAY 1993,USA,2h5,"Sacramento, CA (USA)",30 JUL 2010
331,409,10.76,Timo STINSKI,28 SEP 1992,GER,3,Ulm (GER),06 AUG 2010
332,429,10.77,Lewis CLARK,15 MAR 1991,AUS,2h3,Sydney (AUS),27 MAR 2010
333,429,10.77,Stefan JOHNSON,,USA,2,"Lynchburg, VA (USA)",10 APR 2010
334,429,10.77,Isiah SIMS,,USA,5f1,"Norwalk, CA (USA)",17 APR 2010
335,429,10.77,Aaron CAMPBELL,,USA,4h2,"Philadelphia, PA (USA)",23 APR 2010
336,429,10.77,Isaiah BELL,,USA,1h1,"Lewisburg, PA (USA)",01 MAY 2010
337,429,10.77,Massimo MARSILI,1991,ITA,2f1,Firenze (ITA),15 MAY 2010
338,429,10.77,Nicolas GRIMAULT,02 NOV 1991,FRA,1h1,Saran (FRA),19 JUN 2010
339,429,10.77,Jeffrey SEDECIAS,23 SEP 1991,FRA,2,Val-de-Reuil (FRA),26 JUN 2010
340,429,10.77,Sébastien SÉVIGNY,1991,CAN,2h1,Moncton (CAN),02 JUL 2010
341,429,10.77,David ALEJANDRO,14 DEC 1992,ESP,2,Castellón (ESP),03 JUL 2010
342,429,10.77,Dongxue ZI,07 JAN 1993,CHN,2sf1,Huainan (CHN),16 JUL 2010
343,429,10.77,Mirko BERRI,1993,SUI,1,Langenthal (SUI),04 SEP 2010
344,429,10.77,Lorenzo VALENTINI,13 APR 1991,ITA,f2,Rieti (ITA),18 SEP 2010
345,429,10.77,Tom TEMPLETON,19 NOV 1992,AUS,1f1,Canberra (AUS),27 NOV 2010
346,443,10.78,Corvin LAMB,1992,USA,4,"Jacksonville, FL (USA)",20 MAR 2010
347,443,10.78,Kavean SMITH,12 MAY 1991,JAM,3sf2,Kingston (JAM),26 MAR 2010
348,443,10.78,Shernyl BURNS,11 OCT 1991,MNT,5h2,George Town (CAY),03 APR 2010
349,443,10.78,Mateo EDWARD,01 MAY 1993,PAN,3,Panama City (PAN),16 APR 2010
350,443,10.78,Josef Semir NORALES,14 NOV 1991,HON,4,Panama City (PAN),16 APR 2010
351,443,10.78,Luca VALBONESI,20 SEP 1993,ITA,1f3,Modena (ITA),25 APR 2010
352,443,10.78,Andre WATERS,,USA,2,"St. Cloud, FL (USA)",29 APR 2010
353,443,10.78,Terence ABRAM,28 JAN 1991,USA,7f1,"Los Angeles, CA (USA)",01 MAY 2010
354,443,10.78,Donovan HICKS,,USA,2h3,"Humble, TX (USA)",03 MAY 2010
355,443,10.78,Theodore WEST,,USA,4,"Winter Park, FL (USA)",07 MAY 2010
356,443,10.78,Jacob LADY-SCHREIBER,1993,USA,6,"Austin, TX (USA)",15 MAY 2010
357,443,10.78,Eddie EDWARD,1991,MAS,2,Manila (PHI),21 MAY 2010
358,443,10.78,Nic BOWENS,28 JUN 1993,USA,2,"Boise, ID (USA)",21 MAY 2010
359,443,10.78,Daniel Duarte DA SILVA,27 OCT 1992,BRA,2,Rio de Janeiro (BRA),28 MAY 2010
360,443,10.78,Alex OJO,24 MAR 1991,GBR,3f2,Palafrugell (ESP),29 MAY 2010
361,443,10.78,Shephard TIMAZRAY,,USA,6h2,"Clovis, CA (USA)",04 JUN 2010
362,443,10.78,Daveon COLLINS,03 OCT 1992,USA,5,"Albuquerque, NM (USA)",05 JUN 2010
363,443,10.78,Ken ROMAIN,17 APR 1993,FRA,2,Montgeron (FRA),12 JUN 2010
364,443,10.78,Pierre CHALUS,10 MAY 1993,FRA,1h1,Montgeron (FRA),12 JUN 2010
365,443,10.78,Shavez HART,06 SEP 1992,BAH,7,Nassau (BAH),12 JUN 2010
366,443,10.78,Ahmad Rosely SCHZUAN,1992,MAS,2h1,Malacca (MAS),14 JUN 2010
367,443,10.78,Jorge Luis RENTERIA,14 AUG 1993,COL,2,Bogotá (COL),25 JUN 2010
368,443,10.78,Clement NALLET,17 NOV 1991,FRA,3,Castres (FRA),31 JUL 2010
369,443,10.78,Dequadius TUCKER,07 JUL 1992,USA,4sf2,"Norfolk, VA (USA)",04 AUG 2010
370,443,10.78,Christopher PIEPER,1992,GER,1sf2,Ulm (GER),06 AUG 2010
371,443,10.78,Takuya SAKAGUCHI,1992,JPN,6,Chiba (JPN),01 OCT 2010
372,443,10.78,Hayato SUDA,23 OCT 1994,JPN,2sf3,Chiba (JPN),02 OCT 2010
373,470,10.79,Phillip DORSETT,05 JAN 1993,USA,2,"Coral Springs, FL (USA)",20 MAR 2010
374,470,10.79,Justin GILBERT,,USA,2h3,"Austin, TX (USA)",02 APR 2010
375,470,10.79,Parker BLUTH,02 FEB 1992,USA,1h2,"Arcadia, CA (USA)",10 APR 2010
376,470,10.79,Andrew BUIE,,USA,6,"Orlando, FL (USA)",22 APR 2010
377,470,10.79,Marcus THOMPSON,12 JUL 1991,BAH,6,"Houston, TX (USA)",24 APR 2010
378,470,10.79,Nevin LAWSON,,USA,5,"Miramar, FL (USA)",29 APR 2010
379,470,10.79,Reagan BEAL,,USA,1,"Tampa, FL (USA)",29 APR 2010
380,470,10.79,Duran WARD,01 AUG 1991,USA,1h1,"Durham, NH (USA)",01 MAY 2010
381,470,10.79,Joshua ATKINSON,,USA,3,"Sacramento, CA (USA)",01 MAY 2010
382,470,10.79,Deante GRAY,27 FEB 1994,USA,4,"Humble, TX (USA)",04 MAY 2010
383,470,10.79,Malik MCKINNEY,,USA,1h2,"Lakewood, PA (USA)",20 MAY 2010
384,470,10.79,Tiziano PROIETTI,15 MAR 1992,ITA,2,Roma (ITA),09 JUN 2010
385,470,10.79,Karol ZALEWSKI,07 AUG 1993,POL,1h1,Plock (POL),16 JUN 2010
386,470,10.79,Jonathan HENRY,,USA,3h1,"Greensboro, NC (USA)",17 JUN 2010
387,470,10.79,Jared HELDMAN,19 APR 1992,CAN,3f2,Abbotsford (CAN),03 JUL 2010
388,470,10.79,James TALKHI,1995,QAT,1,Helsingborg (SWE),11 JUL 2010
389,470,10.79,Nelson MALAFAIA,03 JUN 1991,BRA,5,Americana (BRA),24 JUL 2010
390,470,10.79,Henri PARIKKA,29 DEC 1992,FIN,2sr,Turku (FIN),18 AUG 2010
391,470,10.79,Carlos NASCIMENTO,12 OCT 1994,POR,1f4,Singapore (SGP),21 AUG 2010
392,470,10.79,Lepani NAIVALU,30 JAN 1993,FIJ,7f5,Singapore (SGP),21 AUG 2010
393,470,10.79,Pavel MASLÁK,21 FEB 1991,CZE,1,Breclav (CZE),28 AUG 2010
394,470,10.79,Jonathas DA SILVA,05 AUG 1993,BRA,5,Uberlandia (BRA),04 SEP 2010
395,470,10.79,Jasim Mohammed AYMEN,22 JAN 1991,IRQ,6h2,Aleppo (SYR),18 SEP 2010
396,470,10.79,Rysouke HINUMA,1994,JPN,2sf1,Chiba (JPN),02 OCT 2010
397,494,10.80,Jemar JOHNSON,20 OCT 2000,JAM,3f3,Spanish Town (JAM),13 FEB 2010
398,494,10.80,Michael NORWOOD,,USA,1,"Bakersfield, CA (USA)",12 MAR 2010
399,494,10.80,Kehinde OLUBODUN,25 NOV 1996,NGR,2h4,Kaduna (NGR),26 MAR 2010
400,494,10.80,Edgar Roberto ZEPEDA,,MEX,1f5,Ciudad de México (MEX),27 MAR 2010
401,494,10.80,Roscoe LEE,30 JAN 1991,USA,1h3,"Dallas, TX (USA)",27 MAR 2010
402,494,10.80,Raymond JACKSON,,USA,2f4,"Oxford, MS (USA)",10 APR 2010
403,494,10.80,Anaso JOBODWANA,30 JUL 1992,RSA,6,Germiston (RSA),10 APR 2010
404,,,,,,,,
405,494,10.80,Peter WATLING,14 OCT 1992,GBR,1,Tipton (GBR),11 APR 2010
406,494,10.80,Tray WILLIAMS,,USA,3,"Jacksonville, FL (USA)",23 APR 2010
407,494,10.80,Stiven VALOIS,24 OCT 1992,COL,6f1,Medellín (COL),24 APR 2010
408,494,10.80,Freddy CUERO,15 MAR 1992,COL,4f2,Medellín (COL),24 APR 2010
409,494,10.80,Karlos WILLIAMS,,USA,3,"St. Cloud, FL (USA)",29 APR 2010
410,494,10.80,Volvick VASSOR,,USA,6,"Miramar, FL (USA)",29 APR 2010
411,494,10.80,Mohamed Karim TAHIRI,01 JUN 1992,MAR,3,Rabat (MAR),08 MAY 2010
412,494,10.80,Julius TRAVIS,,USA,7h1,"Clovis, CA (USA)",04 JUN 2010
413,494,10.80,Adam GEMILI,06 OCT 1993,GBR,2h3,Birmingham (GBR),09 JUL 2010
414,494,10.80,Seye OGUNLEWE,30 AUG 1991,NGR,3,Dublin (IRL),11 JUL 2010
415,494,10.80,Won-jae LIM,,KOR,2,Changwon (KOR),15 JUL 2010
416,494,10.80,Méba Mickaël ZEZE,19 MAY 1994,FRA,2,Chiuro (ITA),24 JUL 2010
417,494,10.80,Blest NORRIS,1992,USA,5sf2,"Norfolk, VA (USA)",04 AUG 2010
418,494,10.80,Ratu Banuve TABAKAUCORO,04 SEP 1992,FIJ,1,"Barlow Park, Cairns (AUS)",25 SEP 2010
419,494,10.80,Kittisak PHIRAKSA,,THA,4,Bangkok (THA),03 NOV 2010
420,516,10.81,Justin WARE,,USA,1f1,"Cedarville, OH (USA)",27 MAR 2010
421,516,10.81,Michael BRYAN,09 JUN 1992,GER,2,"Dallas, TX (USA)",27 MAR 2010
422,516,10.81,Lache SEASTRUNK,,USA,1h9,"Austin, TX (USA)",02 APR 2010
423,516,10.81,Jordan ARTHUR,01 MAR 1993,GBR,2f1,Lee Valley (GBR),10 APR 2010
424,516,10.81,Emile ERASMUS,03 APR 1992,RSA,7,Germiston (RSA),10 APR 2010
425,516,10.81,Ahmad MOKHTAR,1993,EGY,1,Khartoum (SUD),12 MAY 2010
426,516,10.81,Diego LAWRENCE,18 MAY 1991,USA,2h2,"Jacksonville, FL (USA)",14 MAY 2010
427,516,10.81,Diego CAVALCANTI,18 MAR 1991,BRA,1,Natal (BRA),15 MAY 2010
428,516,10.81,Solyde BANKSTON,,USA,2h2,"Lakewood, PA (USA)",20 MAY 2010
429,516,10.81,Christopher AGI,11 NOV 1992,NGR,4,Owerri (NGR),05 JUN 2010
430,516,10.81,Walter HENDERSON,,USA,6,"Albuquerque, NM (USA)",05 JUN 2010
431,516,10.81,Filipp ROTKOV,03 FEB 1991,RUS,3h1,Yerino (RUS),11 JUN 2010
432,516,10.81,Marco LORENZI,20 JUN 1993,ITA,2f1,Trento (ITA),12 JUN 2010
433,516,10.81,Regis MAKUNZA,01 AUG 1992,FRA,2f1,Montgeron (FRA),12 JUN 2010
434,516,10.81,Johnathan FARQUHARSON,03 FEB 1993,BAH,1h1,Nassau (BAH),12 JUN 2010
435,516,10.81,Jean-Pierre BERTRAND,05 NOV 1992,FRA,7,Nantes (FRA),23 JUN 2010
436,516,10.81,Adrian SILWANOWICZ,02 OCT 1992,POL,1f2,Białystok (POL),26 JUN 2010
437,516,10.81,Tunde JUDUN,08 OCT 1993,GBR,1,Bedford (GBR),03 JUL 2010
438,516,10.81,Adrián BURRIEL,18 NOV 1992,ESP,3,Castellón (ESP),03 JUL 2010
439,516,10.81,Travis THORNHILL,1993,USA,2h2,"Sacramento, CA (USA)",30 JUL 2010
440,516,10.81,Kyle FULKS,12 DEC 1993,USA,1h3,"Sacramento, CA (USA)",30 JUL 2010
441,516,10.81,Jarrod GEDDES,24 FEB 1994,AUS,3,Melbourne (AUS),04 DEC 2010
442,538,10.82,Jonathan CELESTIN,12 JAN 1991,LCA,1f2,Fort-de-France (FRA),20 MAR 2010
443,538,10.82,Agustin AGUIRRE ORTEGA,22 FEB 1991,MEX,2f5,Ciudad de México (MEX),27 MAR 2010
444,538,10.82,Curt Alain CABOUL,13 JUL 1991,FRA,4h3,George Town (CAY),03 APR 2010
445,538,10.82,Tyler SULT,16 JAN 1991,USA,1,"West Lafayette, IN (USA)",24 APR 2010
446,538,10.82,Aleksandr YELISEYEV,11 SEP 1993,RUS,1h2,Cheboksary (RUS),07 MAY 2010
447,538,10.82,Aaron RADDEN,24 JUN 1991,USA,7h3,"Princeton, NJ (USA)",15 MAY 2010
448,538,10.82,Kenny BELL,,USA,2h1,"Lakewood, PA (USA)",20 MAY 2010
449,538,10.82,Davelle SANDERS,13 APR 1992,USA,7,"Norwalk, CA (USA)",22 MAY 2010
450,538,10.82,Kyle MIDDLEBROOKS,10 SEP 1992,USA,8,"Norwalk, CA (USA)",22 MAY 2010
451,538,10.82,Jen-Chieh CHEN,01 JUL 1993,TPE,2,Singapore (SGP),23 MAY 2010
452,538,10.82,José Fernando MARTÍNEZ,05 SEP 1993,MEX,2h2,Guadalajara (MEX),28 MAY 2010
453,538,10.82,Marius BÖHRENZ,1991,GER,2f1,Regensburg (GER),05 JUN 2010
454,538,10.82,Christopher MCCONNELL,12 NOV 1991,USA,4h1,"Greensboro, NC (USA)",17 JUN 2010
455,538,10.82,Devin WANNAMAKER,02 DEC 1992,USA,4h4,"Greensboro, NC (USA)",17 JUN 2010
456,538,10.82,Clement MARTIN,23 JAN 1991,FRA,2,St-Renan (FRA),19 JUN 2010
457,538,10.82,Kostas SKRABULIS,04 AUG 1992,LTU,1h1,Kaunas (LTU),09 JUL 2010
458,538,10.82,Leandro PITARELLI DE ARAUJO,22 FEB 1993,BRA,2,Sertaozinho (BRA),10 JUL 2010
459,538,10.82,In-kang MA,,KOR,3,Changwon (KOR),15 JUL 2010
460,538,10.82,Danut Ion MOLDOVAN,18 MAR 1991,ROU,5,Bucureşti (ROU),16 JUL 2010
461,538,10.82,Mohammed HASSAN JUMAAH,16 DEC 1992,IRQ,2,Beirut (LBN),31 JUL 2010
462,538,10.82,Ma JUN,25 DEC 1992,CHN,4h3,Jinan (CHN),05 AUG 2010
463,538,10.82,Léon David BASSE,20 SEP 1992,SEN,6,Abuja (NGR),08 SEP 2010
464,560,10.83,Tom GAMBLE,25 NOV 1991,AUS,3,Sydney (AUS),13 MAR 2010
465,560,10.83,Jhon COLMENARES,02 JUN 1993,VEN,1,Barquisimeto (VEN),20 MAR 2010
466,560,10.83,Javon ROLLE,1993,BAH,2,Nassau (BAH),20 MAR 2010
467,560,10.83,Kevin JONES,07 OCT 1993,USA,10h1,"Baton Rouge, LA (USA)",26 MAR 2010
468,560,10.83,Robert GUTIERREZ,,PUR,2f3,Mayagüez (PUR),27 MAR 2010
469,560,10.83,Nate ASKEW,,USA,2h9,"Austin, TX (USA)",02 APR 2010
470,560,10.83,Angelo CABRERA,27 SEP 1991,USA,6f1,"Arcadia, CA (USA)",10 APR 2010
471,560,10.83,Reece NOONAN,31 DEC 1992,GBR,3f1,Lee Valley (GBR),10 APR 2010
472,560,10.83,Prince MAKGATO,07 FEB 1992,RSA,8,Germiston (RSA),10 APR 2010
473,560,10.83,Jared BAKER,,USA,4,"Walnut, CA (USA)",17 APR 2010
474,560,10.83,Adeola EFUNSILE,15 NOV 1992,NGR,4sf4,Ibadan (NGR),17 APR 2010
475,560,10.83,Phillip JONES,,USA,1h1,"Rock Island, IL (USA)",17 APR 2010
476,560,10.83,Lavorrie JOHNSON,,USA,4,"Jacksonville, FL (USA)",23 APR 2010
477,560,10.83,Nathan ALADE,26 AUG 1991,USA,1f2,"La Jolla, CA (USA)",24 APR 2010
478,560,10.83,Albert WILSON,,USA,1h2,"Tampa, FL (USA)",29 APR 2010
479,560,10.83,Perron JONES,01 APR 1991,USA,2,"Atlanta, GA (USA)",01 MAY 2010
480,560,10.83,Evan MEEHAN,22 MAY 1992,USA,5,"Sacramento, CA (USA)",01 MAY 2010
481,560,10.83,Corey DAVIS,,USA,1h3,"Humble, TX (USA)",03 MAY 2010
482,560,10.83,Al AMEEN,01 APR 1991,IND,6sf1,Kochi (IND),16 MAY 2010
483,560,10.83,Artur Bruno ROJAS DA SILVA,27 MAY 1993,BOL,1,Cochabamba (BOL),12 JUN 2010
484,560,10.83,Philipp WOBETO,1991,GER,2sf1,Berlin (GER),03 JUL 2010
485,560,10.83,Paul WHELAN,12 MAY 1992,IRL,1,Tullamore (IRL),04 JUL 2010
486,560,10.83,Jung-won LEE,22 JUN 1992,KOR,1,Taebaek (KOR),22 JUL 2010
487,560,10.83,Alejandro Emerson CHALA,02 AUG 1991,ECU,2,Cuenca (ECU),03 AUG 2010
488,560,10.83,José Enrique MOSQUERA,08 JUL 1992,ECU,3,Cuenca (ECU),03 AUG 2010
489,560,10.83,Oweka WANOGHO,16 AUG 1991,GBR,2,"Tooting Bec Athletics Track, London (GBR)",11 AUG 2010
490,560,10.83,Chijindu UJAH,05 MAR 1994,GBR,1,Bedford (GBR),21 AUG 2010
491,560,10.83,Jordan CALDOW,23 SEP 1993,AUS,4,Melbourne (AUS),04 DEC 2010
492,588,10.84,Abraham RODRIGUEZ VAZQUEZ,05 MAR 1991,MEX,3,Queretaro (MEX),06 FEB 2010
493,588,10.84,Terry LEWIS,,USA,11h1,"Baton Rouge, LA (USA)",26 MAR 2010
494,588,10.84,Byron SNEED,,USA,1h1,"Dallas, TX (USA)",27 MAR 2010
495,588,10.84,Adonis SAUNDERS,23 JUN 1993,USA,1,"Lawrence, KS (USA)",17 APR 2010
496,588,10.84,Jujuan STORY,,USA,4,"St. Cloud, FL (USA)",29 APR 2010
497,588,10.84,Patrick LEWIS,08 AUG 1991,USA,1f2,"Fayetteville, AR (USA)",30 APR 2010
498,588,10.84,Mark JACKSON,12 OCT 1991,USA,2h3,"Humble, TX (USA)",03 MAY 2010
499,588,10.84,Min-woo YOO,31 JUL 1991,KOR,2sf2,Changwon (KOR),11 MAY 2010
500,588,10.84,Odis RICHARDSON,,USA,1h2,"Emporia, KS (USA)",15 MAY 2010
501,588,10.84,Brock TAYLOR,11 FEB 1992,USA,2,"Austin, TX (USA)",15 MAY 2010
502,588,10.84,Oran BENNETT,,USA,7,"Austin, TX (USA)",15 MAY 2010
503,588,10.84,Martin BRIEGER,05 JAN 1991,GER,4f1,Weinheim (GER),22 MAY 2010
504,588,10.84,Henricho BRUINTJIES,16 JUL 1993,RSA,3,Gaborone (BOT),22 MAY 2010
505,,,,,,,,
506,588,10.84,Joel BURGUNDER,20 MAY 1991,SUI,1f1,Bern (SUI),29 MAY 2010
507,588,10.84,Anders BATTLE,,USA,7,"Albuquerque, NM (USA)",05 JUN 2010
508,588,10.84,Hubert DUNIN-BORKOWSKI,06 DEC 1992,POL,1h1,Zamość (POL),12 JUN 2010
509,588,10.84,Charles MILLER,,BAH,3h2,Nassau (BAH),12 JUN 2010
510,588,10.84,Marlon LAIDLAW-ALLEN,16 JUN 1993,CAN,1f2,Toronto (CAN),19 JUN 2010
511,588,10.84,Chanho LIM,11 MAR 1992,KOR,2sf1,Sangju (KOR),24 JUN 2010
512,588,10.84,Sam WATTS,14 FEB 1992,GBR,1,Woodford (GBR),27 JUN 2010
513,588,10.84,Omri HARUSH,14 JUN 1993,ISR,2h2,Tel Aviv (ISR),30 JUN 2010
514,588,10.84,Jonathan MUTEBWA,11 JAN 1993,NED,2f2,Eindhoven (NED),11 JUL 2010
515,588,10.84,Tiago SILVESTRE,18 JUN 1991,POR,8,Leiria (POR),17 JUL 2010
516,588,10.84,Neamen WISE,25 APR 1991,USA,1ce3,"Croix-Bleue Medavie Stadium, Moncton (CAN)",20 JUL 2010
517,588,10.84,Iseah MONTGIRAUD,1992,CAN,1f1,Ottawa (CAN),28 JUL 2010
518,588,10.84,Josh STREET,31 JUL 1994,GBR,2sr12,Lee Valley (GBR),04 AUG 2010
519,588,10.84,Tom HOLLIGAN,24 MAR 1994,GBR,2,Bedford (GBR),21 AUG 2010
520,588,10.84,Tomasz KLUCZYŃSKI,18 JUL 1993,POL,4f2,Kraków (POL),04 SEP 2010
521,588,10.84,Fiacre Brisso BAHOUROU,30 AUG 1993,BEN,4h2,Abuja (NGR),08 SEP 2010
522,588,10.84,Alex JORDAN,10 APR 1992,NZL,3f1,Christchurch (NZL),20 NOV 2010
523,618,10.85,Jermaine FYFFE,09 JAN 1993,JAM,1f12,Kingston (JAM),13 FEB 2010
524,618,10.85,Kimarley HENRY,1991,JAM,1h1,Kingston (JAM),06 MAR 2010
525,618,10.85,Brandin COOKS,,USA,1h5,"Palo Alto, CA (USA)",26 MAR 2010
526,618,10.85,John THOMAS,04 FEB 1992,USA,1h5,"Austin, TX (USA)",02 APR 2010
527,618,10.85,Mar-Keo JONES,24 AUG 1993,USA,5,"Durham, NC (USA)",03 APR 2010
528,618,10.85,Derek SEROWSKI,,USA,1f5,"Norman, OK (USA)",10 APR 2010
529,618,10.85,Jordan GEARY,14 JUL 1991,USA,2f2,"Lubbock, TX (USA)",10 APR 2010
530,618,10.85,Patrick MACMULLEN,,USA,3f2,"Walnut, CA (USA)",17 APR 2010
531,618,10.85,Thomas FINNIE,,USA,1,"Miami, FL (USA)",21 APR 2010
532,618,10.85,Eric STEVENS,11 MAR 1991,NED,1,Spijkenisse (NED),25 APR 2010
